gt_g,gt_lambda,gt_delta,distance,fitted_g,fitted_lambda,fitted_delta
0.262,0.225,0.068,0.04043513323831145,0.275,0.25,0.097
0.262,0.225,0.097,0.03828837943815329,0.262,0.25,0.126
0.262,0.225,0.126,0.04012480529547776,0.25,0.2,0.155
0.262,0.225,0.155,0.08407734534343957,0.3,0.15,0.155
0.262,0.225,0.184,0.11560276813294741,0.262,0.125,0.126
0.262,0.225,0.213,0.1569649642436171,0.3,0.1,0.126
0.262,0.225,0.242,0.11849050594878899,0.288,0.125,0.184
0.262,0.225,0.271,0.12168812596141007,0.3,0.125,0.213
0.262,0.225,0.3,0.13507405376311174,0.288,0.125,0.213
0.262,0.25,0.068,0.07657675887630658,0.262,0.3,0.126
0.262,0.25,0.097,0.05780138406647369,0.262,0.3,0.126
0.262,0.25,0.126,0.040124805295477774,0.25,0.275,0.155
0.262,0.25,0.155,0.05141984052872975,0.25,0.2,0.155
0.262,0.25,0.184,0.110837719211467,0.3,0.15,0.155
0.262,0.25,0.213,0.14294404499663493,0.3,0.125,0.155
0.262,0.25,0.242,0.10480935072788115,0.25,0.15,0.213
0.262,0.25,0.271,0.15276779765382495,0.25,0.125,0.184
0.262,0.25,0.3,0.11560276813294741,0.262,0.15,0.242
0.262,0.275,0.068,0.0631585306985525,0.262,0.3,0.126
0.262,0.275,0.097,0.03828837943815327,0.262,0.3,0.126
0.262,0.275,0.126,0.024999999999999967,0.262,0.3,0.126
0.262,0.275,0.155,0.03606937759374286,0.288,0.25,0.155
0.262,0.275,0.184,0.07595393340703299,0.25,0.2,0.184
0.262,0.275,0.213,0.1338282481391728,0.3,0.15,0.184
0.262,0.275,0.242,0.17751901306620652,0.3,0.125,0.155
0.262,0.275,0.271,0.17751901306620654,0.3,0.125,0.184
0.262,0.275,0.3,0.13832208789632988,0.25,0.15,0.242
0.262,0.3,0.068,0.05166236541235795,0.275,0.25,0.068
0.262,0.3,0.097,0.028999999999999998,0.262,0.3,0.126
0.262,0.3,0.126,0.0,0.262,0.3,0.126
0.262,0.3,0.155,0.0,0.262,0.3,0.155
0.262,0.3,0.184,0.031384709652950434,0.25,0.3,0.213
0.262,0.3,0.213,0.130927460832325,0.288,0.175,0.184
0.262,0.3,0.242,0.16525132374658907,0.3,0.15,0.184
0.262,0.3,0.271,0.2102974084481309,0.25,0.125,0.155
0.262,0.3,0.3,0.17381887124245168,0.25,0.15,0.213
0.275,0.1,0.068,0.028999999999999998,0.275,0.1,0.097
0.275,0.1,0.097,0.0,0.275,0.1,0.097
0.275,0.1,0.126,0.11599999999999999,0.275,0.1,0.242
0.275,0.1,0.155,0.12126829758844644,0.25,0.125,0.271
0.275,0.1,0.184,1.0,0.275,0.1,0.184
0.275,0.1,0.213,1.0,0.275,0.1,0.213
0.275,0.1,0.242,1.0,0.275,0.1,0.242
0.275,0.1,0.271,1.0,0.275,0.1,0.271
0.275,0.1,0.3,1.0,0.275,0.1,0.3
0.275,0.125,0.068,0.03828837943815329,0.275,0.15,0.097
0.275,0.125,0.097,0.024999999999999994,0.275,0.1,0.097
0.275,0.125,0.126,0.03535533905932735,0.3,0.1,0.126
0.275,0.125,0.155,0.11937336386313323,0.288,0.1,0.271
0.275,0.125,0.184,0.045727453460694706,0.25,0.1,0.155
0.275,0.125,0.213,1.0,0.275,0.125,0.213
0.275,0.125,0.242,1.0,0.275,0.125,0.242
0.275,0.125,0.271,1.0,0.275,0.125,0.271
0.275,0.125,0.3,1.0,0.275,0.125,0.3
0.275,0.15,0.068,0.04043513323831144,0.288,0.175,0.097
0.275,0.15,0.097,0.024999999999999994,0.275,0.125,0.097
0.275,0.15,0.126,0.05780138406647369,0.275,0.1,0.097
0.275,0.15,0.155,0.06297618597533515,0.25,0.1,0.126
0.275,0.15,0.184,0.10118300252512771,0.288,0.1,0.271
0.275,0.15,0.213,0.028178005607210715,0.288,0.125,0.213
0.275,0.15,0.242,0.05943904440685432,0.262,0.15,0.3
0.275,0.15,0.271,0.045727453460694664,0.3,0.125,0.3
0.275,0.15,0.3,1.0,0.275,0.15,0.3
0.275,0.175,0.068,0.0,0.275,0.175,0.068
0.275,0.175,0.097,0.03828837943815331,0.25,0.175,0.126
0.275,0.175,0.126,0.05590169943749472,0.3,0.125,0.126
